wheel_1_Force_x,wheel_1_Force_y,wheel_1_Force_z,wheel_2_Force_x,wheel_2_Force_y,wheel_2_Force_z,wheel_3_Force_x,wheel_3_Force_y,wheel_3_Force_z,wheel_4_Force_x,wheel_4_Force_y,wheel_4_Force_z,,,
0.0,0.0,107.245445,0.0,0.0,169.05916,0.021122182,-0.021122262,136.16193,0.0,0.0,160.43968
0.0,0.0,125.47447,0.0,0.0,148.82948,-3.6663346e-12,1.6059491e-12,126.10721,0.0,0.0,135.57695
0.0,0.0,127.935875,0.0,0.0,159.1494,-2.8647232e-12,-1.874225e-14,119.53346,0.0,0.0,147.74393
0.0,0.0,122.73502,0.0,0.0,148.25258,-4.2683673e-12,3.5122565e-12,123.40778,0.0,0.0,121.55312
-0.00012153947,0.0009722938,120.47319,0.0,0.0,145.08731,-4.8678136e-12,-0.012621112,117.314316,0.0,0.0,147.1304
0.0,0.0,120.54084,0.0,0.0,150.37263,-1.2855845e-13,6.307461e-13,124.68683,0.0,0.0,119.88084
0.0,0.0,81.956055,-3.4909083e-11,-0.0003371321,198.54599,0.0,0.0,77.4631,0.0,0.0,225.90854
0.0,0.0,123.55562,0.0,0.0,139.24425,-1.8225317e-12,4.085928e-13,123.22456,0.0,0.0,118.750595
0.0,0.0,124.74951,0.0,0.0,149.3717,-1.043681e-12,8.84268e-14,125.05913,0.0,0.0,130.96632
0.0,0.0,119.50232,0.0,0.0,170.78401,-3.0464416e-12,1.2164217e-12,121.61342,0.0,0.0,166.33253
-0.00010987088,0.00087896606,125.5365,0.00015601174,-0.0015279518,159.22249,4.3751144e-12,-0.01323719,121.13214,0.0001413975,-0.0011311816,160.03157
0.0,0.0,128.75175,0.0,0.0,148.95276,-2.9806078e-13,-2.398138e-13,124.48299,0.0,0.0,167.12842
0.0,0.0,126.72927,0.0,0.0,155.185,-1.7156583e-12,1.1596366e-12,117.507645,0.0,0.0,140.11711
0.0,0.0,121.55081,0.0,0.0,154.01471,-1.3894778e-12,1.0709631e-12,134.06093,0.0,0.0,136.76802
0.0,0.0,121.968414,0.0,0.0,142.04272,8.5119027e-13,4.987909e-13,129.392,0.0,0.0,124.226006
0.0,0.0,118.89022,0.0,0.0,135.91086,3.0522854e-12,8.700445e-13,125.67041,0.0,0.0,122.269135
0.0,0.0,120.11122,0.0,0.0,147.74374,1.4867025e-12,8.183564e-13,124.20052,0.0,0.0,127.84318
0.0,0.0,123.65112,0.0,0.0,152.17973,0.0,0.0,131.82227,0.0,0.0,152.11087
0.0,0.0,115.703964,0.0,0.0,154.339,1.1760369e-12,1.1462613e-12,127.79289,0.0,0.0,121.41661
0.0,0.0,126.812126,0.0,0.0,159.371,2.347095e-12,2.059889e-12,118.41324,0.0,0.0,171.59119
0.0,0.0,128.16049,0.0,0.0,146.10338,1.3155616e-13,1.2624019e-12,120.63866,0.0,0.0,142.9405
0.0,0.0,84.1412,-8.9862605e-12,-0.00017205224,206.26813,0.0,0.0,76.83999,0.0,0.0,226.84396
0.0,0.0,121.88959,0.0,0.0,158.9195,-1.3807137e-12,-2.5947753e-13,126.245,0.0,0.0,149.68657
0.0,0.0,127.34924,0.0,0.0,153.12943,0.01699351,-0.016993573,116.91601,0.0,0.0,164.85855
0.0,0.0,83.84457,-9.0854095e-12,-0.00012842362,205.28311,0.0,0.0,81.68057,0.0,0.0,221.06467
0.0,0.0,127.67013,0.0,0.0,167.77635,2.7167879e-14,2.6213558e-13,127.22622,0.0,0.0,166.41776
0.0,0.0,124.05235,0.0,0.0,171.11319,-2.269325e-12,2.4975418e-13,126.09948,0.0,0.0,161.79422
0.0,0.0,131.5632,0.0,0.0,148.58957,-9.662476e-13,2.295292e-12,119.56287,0.0,0.0,162.05011
0.0,0.0,117.85344,0.0,0.0,155.80714,-7.886871e-13,8.5148224e-13,121.85349,0.0,0.0,136.33978
0.0,0.0,118.70414,-0.00012780254,0.0010325083,168.70859,6.1383173e-12,0.006004242,127.61285,-0.00011448034,0.0009158442,156.48299
0.0,0.0,120.819664,0.0,0.0,175.41687,0.010851313,-0.010851353,123.39481,0.0,0.0,177.41122
0.0,0.0,124.77333,0.0,0.0,157.24055,-2.3367098e-12,8.275221e-13,123.34199,0.0,0.0,158.32396
0.0,0.0,121.662704,0.0,0.0,150.80702,-1.9143717e-12,-4.5062556e-12,128.57164,0.0,0.0,124.50537
0.0,0.0,130.45709,0.0,0.0,162.46259,-1.6269905e-12,1.1668445e-12,117.60192,0.0,0.0,173.49042
